t (yr),P1_x (AU),P1_y (AU),P2_x (AU),P2_y (AU),P3_x (AU),P3_y (AU),P4_x (AU),P4_y (AU),P5_x (AU),P5_y (AU)
2.37,-0.23010,1.78957,-2.39953,0.95882,-2.98423,10.58447,-52.82640,18.44920,7.44911,-0.04512
2.38,-0.24495,1.81580,-2.44129,0.93302,-3.02826,10.67912,-54.40720,18.92102,7.40306,-0.04642
2.39,-0.25932,1.84074,-2.47413,0.90840,-3.07270,10.77185,-56.03520,19.40090,7.35467,-0.04771
2.40,-0.27318,1.86437,-2.49800,0.88503,-3.11754,10.86266,-57.71120,19.88892,7.30396,-0.04899
2.41,-0.28653,1.88667,-2.51288,0.86298,-3.16275,10.95152,-59.43630,20.38515,7.25096,-0.05027
2.42,-0.29936,1.90762,-2.51877,0.84232,-3.20833,11.03844,-61.21140,20.88967,7.19570,-0.05154
2.43,-0.31165,1.92721,-2.51564,0.82312,-3.25425,11.12338,-63.03750,21.40256,7.13821,-0.05280
2.44,-0.32338,1.94541,-2.50346,0.80545,-3.30051,11.20633,-64.91550,21.92388,7.07853,-0.05406
2.45,-0.33455,1.96221,-2.48222,0.78940,-3.34708,11.28726,-66.84650,22.45370,7.01669,-0.05531
2.46,-0.34513,1.97758,-2.45191,0.77502,-3.39396,11.36615,-68.83150,22.99209,6.95275,-0.05655
2.47,-0.35510,1.99150,-2.41253,0.76239,-3.44112,11.44299,-70.87150,23.53912,6.88674,-0.05778
2.48,-0.36446,2.00400,-2.36407,0.75158,-3.48855,11.51775,-72.96760,24.09485,6.81872,-0.05900
2.49,-0.37318,2.01507,-2.30654,0.74268,-3.53624,11.59042,-75.12070,24.65934,6.74872,-0.06022
2.50,-0.38125,2.02472,-2.24000,0.73575,-3.58417,11.66099,-77.33180,25.23267,6.67679,-0.06143
2.51,-0.38865,2.03294,-2.16453,0.73087,-3.63232,11.72944,-79.60190,25.81491,6.60298,-0.06263
2.52,-0.39535,2.03975,-2.08020,0.72810,-3.68068,11.79576,-81.93200,26.40614,6.52735,-0.06382
2.53,-0.40135,2.04515,-1.98711,0.72752,-3.72922,11.85994,-84.32310,27.00642,6.44994,-0.06501
2.54,-0.40663,2.04913,-1.88537,0.72918,-3.77793,11.92197,-86.77610,27.61582,6.37081,-0.06619
2.55,-0.41117,2.05168,-1.77511,0.73315,-3.82679,11.98182,-89.29210,28.23439,6.29003,-0.06736
2.56,-0.41496,2.05282,-1.65646,0.73950,-3.87576,12.03947,-91.87200,28.86221,6.20764,-0.06853
2.57,-0.41798,2.05252,-1.52955,0.74830,-3.92484,12.09491,-94.51690,29.49933,6.12371,-0.06969
2.58,-0.42023,2.05079,-1.39452,0.75962,-3.97400,12.14810,-97.22870,30.14582,6.03830,-0.07084
2.59,-0.42168,2.04764,-1.25150,0.77353,-4.02322,12.19902,-100.00840,30.80174,5.95147,-0.07199
2.60,-0.42233,2.04306,-1.10065,0.79010,-4.07248,12.24765,-102.85700,31.46714,5.86329,-0.07313
2.61,-0.42217,2.03707,-0.94212,0.80939,-4.12177,12.29396,-105.77560,32.14210,5.77382,-0.07426
2.62,-0.42118,2.02967,-0.77609,0.83146,-4.17106,12.33792,-108.76510,32.82667,5.68313,-0.07538
2.63,-0.41936,2.02086,-0.60271,0.85638,-4.22033,12.37951,-111.82640,33.52092,5.59129,-0.07650
2.64,-0.41670,2.01065,-0.42214,0.88421,-4.26955,12.41872,-114.96060,34.22492,5.49836,-0.07761
2.65,-0.41319,1.99905,-0.23455,0.91500,-4.31870,12.45552,-118.16870,34.93874,5.40441,-0.07871
2.66,-0.40884,1.98606,-0.04015,0.94883,-4.36776,12.48991,-121.45150,35.66244,5.30950,-0.07980
2.67,-0.40362,1.97169,0.15939,0.98576,-4.41671,12.52187,-124.81000,36.39608,5.21370,-0.08088
2.68,-0.39754,1.95595,0.36531,1.02584,-4.46552,12.55138,-128.24520,37.13972,5.11707,-0.08196
2.69,-0.39059,1.93885,0.57700,1.06915,-4.51417,12.57843,-131.75890,37.89341,5.01968,-0.08302
2.70,-0.38276,1.92040,0.79402,1.11575,-4.56263,12.60300,-135.35290,38.65721,4.92160,-0.08408
2.71,-0.37405,1.90060,1.01594,1.16572,-4.61089,12.62509,-139.02880,39.43118,4.82290,-0.08513
2.72,-0.36444,1.87948,1.24234,1.21914,-4.65893,12.64468,-142.78840,40.21539,4.72365,-0.08617
2.73,-0.35392,1.85703,1.47285,1.27608,-4.70672,12.66177,-146.63350,41.00990,4.62391,-0.08720
2.74,-0.34249,1.83327,1.70707,1.33660,-4.75424,12.67634,-150.56580,41.81480,4.52377,-0.08823
2.75,-0.33014,1.80820,1.94464,1.40078,-4.80147,12.68840,-154.58720,42.63013,4.42330,-0.08924
2.76,-0.31686,1.78183,2.18520,1.46867,-4.84839,12.69796,-158.69940,43.45601,4.32258,-0.09025
2.77,-0.30265,1.75417,2.42839,1.54035,-4.89498,12.70500,-162.90420,44.29251,4.22168,-0.09124
2.78,-0.28749,1.72522,2.67389,1.61589,-4.94121,12.70953,-167.20350,45.13977,4.12068,-0.09223
2.79,-0.27138,1.69499,2.92135,1.69537,-4.98708,12.71156,-171.59900,45.99786,4.01966,-0.09321
2.80,-0.25432,1.66350,3.17042,1.77884,-5.03255,12.71106,-176.09240,46.86683,3.91869,-0.09418
2.81,-0.23631,1.63076,3.42079,1.86637,-5.07761,12.70805,-180.68550,47.74673,3.81786,-0.09514
2.82,-0.21735,1.59680,3.67210,1.95801,-5.12224,12.70251,-185.38000,48.63762,3.71725,-0.09609
2.83,-0.19743,1.56163,3.92398,2.05380,-5.16642,12.69446,-190.17750,49.53956,3.61694,-0.09703
2.84,-0.17657,1.52528,4.17610,2.15378,-5.21014,12.68388,-195.07990,50.45262,3.51703,-0.09796
2.85,-0.15476,1.48777,4.42813,2.25798,-5.25338,12.67078,-200.08900,51.37686,3.41761,-0.09888
2.86,-0.13200,1.44913,4.67977,2.36645,-5.29612,12.65516,-205.20640,52.31235,3.31876,-0.09979
2.87,-0.10830,1.40939,4.93072,2.47923,-5.33834,12.63702,-210.43410,53.25916,3.22058,-0.10069
2.88,-0.08365,1.36859,5.18069,2.59637,-5.38003,12.61635,-215.77390,54.21737,3.12316,-0.10158
2.89,-0.05807,1.32675,5.42938,2.71790,-5.42116,12.59316,-221.22770,55.18706,3.02660,-0.10246
2.90,-0.03155,1.28392,5.67652,2.84387,-5.46171,12.56743,-226.79750,56.16831,2.93099,-0.10333
2.91,-0.00411,1.24013,5.92186,2.97433,-5.50167,12.53915,-232.48510,57.16120,2.83642,-0.10418
2.92,0.02422,1.19541,6.16515,3.10935,-5.54100,12.50832,-238.29250,58.16581,2.74300,-0.10503
2.93,0.05342,1.14980,6.40614,3.24898,-5.57969,12.47494,-244.22150,59.18222,2.65080,-0.10587
2.94,0.08349,1.10334,6.64461,3.39327,-5.61771,12.43900,-250.27380,60.21051,2.55994,-0.10670
2.95,0.11440,1.05606,6.88031,3.54228,-5.65504,12.40049,-256.45130,61.25078,2.47047,-0.10752
2.96,0.14613,1.00801,7.11299,3.69607,-5.69166,12.35942,-262.75580,62.30310,2.38249,-0.10833
2.97,0.17865,0.95922,7.34241,3.85469,-5.72754,12.31577,-269.18930,63.36756,2.29606,-0.10912
2.98,0.21191,0.90974,7.56834,4.01821,-5.76267,12.26955,-275.75350,64.44422,2.21128,-0.10991
2.99,0.24588,0.85962,7.79056,4.18667,-5.79703,12.22075,-282.45030,65.53316,2.12822,-0.11069
3.00,0.28052,0.80890,8.00885,4.36015,-5.83059,12.16938,-289.28160,66.63445,2.04698,-0.11145
3.01,0.31577,0.75764,8.22300,4.53871,-5.86334,12.11543,-296.24920,67.74815,1.96763,-0.11221
3.02,0.35158,0.70588,8.43282,4.72242,-5.89525,12.05891,-303.35480,68.87433,1.89025,-0.11296
3.03,0.38790,0.65369,8.63811,4.91136,-5.92631,11.99983,-310.59990,70.01306,1.81492,-0.11369
3.04,0.42468,0.60111,8.83868,5.10557,-5.95650,11.93821,-317.98630,71.16439,1.74170,-0.11442
3.05,0.46187,0.54820,9.03437,5.30514,-5.98579,11.87405,-325.51540,72.32839,1.67067,-0.11513
3.06,0.49942,0.49498,9.22497,5.51012,-6.01417,11.80738,-333.18870,73.50512,1.60193,-0.11583
3.07,0.53728,0.44150,9.41029,5.72058,-6.04161,11.73822,-341.00760,74.69466,1.53554,-0.11652
3.08,0.57540,0.38781,9.59017,5.93658,-6.06810,11.66661,-348.97340,75.89708,1.47158,-0.11720
3.09,0.61372,0.33396,9.76445,6.15819,-6.09360,11.59257,-357.08740,77.11244,1.41014,-0.11787
3.10,0.65219,0.27999,9.93297,6.38547,-6.11809,11.51614,-365.35080,78.34080,1.35129,-0.11853
3.11,0.69074,0.22596,10.09559,6.61847,-6.14155,11.43735,-373.76490,79.58223,1.29511,-0.11917
3.12,0.72932,0.17192,10.25217,6.85724,-6.16395,11.35626,-382.33080,80.83680,1.24169,-0.11981
3.13,0.76787,0.11791,10.40259,7.10183,-6.18526,11.27291,-391.04940,82.10459,1.19111,-0.12044
3.14,0.80632,0.06399,10.54673,7.35227,-6.20546,11.18738,-399.92160,83.38567,1.14343,-0.12105
3.15,0.84462,0.01021,10.68449,7.60862,-6.22453,11.09971,-408.94820,84.68010,1.09873,-0.12165
3.16,0.88269,-0.04332,10.81577,7.87094,-6.24243,11.00996,-418.13000,85.98797,1.05708,-0.12224
3.17,0.92051,-0.09659,10.94047,8.13936,-6.25916,10.91819,-427.46780,87.30932,1.01854,-0.12282
3.18,0.95802,-0.14952,11.05852,8.41396,-6.27469,10.82449,-436.96220,88.64423,0.98319,-0.12338
3.19,0.99518,-0.20202,11.16987,8.69485,-6.28901,10.72892,-446.61410,89.99275,0.95110,-0.12393
3.20,1.03197,-0.25399,1.00445,10.15842,8.98213,-6.30209,10.63158,-456.42400,91.35496,0.92233,-0.12446
3.21,1.06834,-0.30537,11.37213,9.27857,-6.31393,10.53258,-466.39260,92.73092,0.89694,-0.12498
3.22,1.10427,-0.35610,11.46467,9.57597,-6.32450,10.43141,-476.52050,94.12070,0.87503,-0.12549
3.23,1.13972,-0.40611,11.55018,9.87971,-6.33379,10.32873,-486.80820,95.52438,0.85666,-0.12598
3.24,1.17466,-0.45532,11.62858,10.18987,-6.34179,10.22464,-497.25620,96.94202,0.84193,-0.12645
3.25,1.20906,-0.50367,11.70014,10.50654,-6.34848,10.11925,-507.86530,98.37367,0.83090,-0.12691
3.26,1.24289,-0.55110,11.76483,10.82980,-6.35384,10.01264,-518.63600,99.81940,0.82365,-0.12735
3.27,1.27613,-0.59754,11.82276,11.15975,-6.35787,9.90494,-529.56910,101.27926,0.82025,-0.12777
3.28,1.30876,-0.64295,11.87401,11.49646,-6.36055,9.79624,-540.66530,102.75330,0.82078,-0.12817
3.29,1.34076,-0.68726,11.91866,11.83999,-6.36187,9.68668,-551.92550,104.24156,0.82531,-0.12855
3.30,1.37211,-0.73045,11.95679,12.19040,-6.36184,9.57639,-563.35030,105.74411,0.83391,-0.12891
3.31,1.40279,-0.77249,11.98848,12.54778,-6.36044,9.46550,-574.94070,107.26100,0.84664,-0.12925
3.32,1.43280,-0.81335,12.01384,12.91219,-6.35767,9.35413,-586.70000,108.79230,0.86355,-0.12957
3.33,1.46211,-0.85302,12.03296,13.28368,-6.35352,9.24240,-598.62920,110.33800,0.88470,-0.12986
3.34,1.49071,-0.89146,12.04595,13.66230,-6.34799,9.13045,-610.73020,111.89810,0.91013,-0.13013
3.35,1.51858,-0.92866,12.05291,14.04812,-6.34107,9.01840,-623.00420,113.47270,0.93990,-0.13038
3.36,1.54570,-0.96460,12.05400,14.44118,-6.33276,8.90637,-635.45220,115.06190,0.97405,-0.13060
3.37,1.57207,-0.99926,12.04934,14.84157,-6.32306,8.79448,-648.07540,116.66570,1.01262,-0.13080
3.38,1.59766,-1.03264,12.03906,15.24933,-6.31198,8.68285,-660.87500,118.28430,1.05567,-0.13098
3.39,1.62247,-1.06473,12.02330,15.66455,-6.29952,8.57161,-673.85230,119.91770,1.10323,-0.13113
3.40,1.64648,-1.09552,12.00216,16.08729,-6.28569,8.46089,-687.00840,121.56600,1.15538,-0.13126
3.41,1.66967,-1.12501,11.97576,16.51761,-6.27049,8.35080,-700.34480,123.22930,1.21217,-0.13136
3.42,1.69205,-1.15318,11.94420,16.95558,-6.25394,8.24147,-713.86280,124.90760,1.27367,-0.13144
3.43,1.71360,-1.18003,11.90760,17.40127,-6.23604,8.13298,-727.56380,126.60100,1.33994,-0.13149
3.44,1.73431,-1.20554,11.86609,17.85474,-6.21680,8.02545,-741.44920,128.31000,1.41108,-0.13151
3.45,1.75419,-1.22971,11.81981,18.31607,-6.19623,7.91898,-755.52040,130.03450,1.48718,-0.13151
3.46,1.77322,-1.25251,11.76889,18.78531,-6.17435,7.81368,-769.77880,131.77500,1.56832,-0.13148
3.47,1.79140,-1.27394,11.71348,19.26253,-6.15118,7.70966,-784.22590,133.53180,1.65460,-0.13143
3.48,1.80873,-1.29399,11.65370,19.74779,-6.12674,7.60702,-798.86310,135.30510,1.74610,-0.13134
3.49,1.82520,-1.31265,11.58969,20.24116,-6.10105,7.50587,-813.69180,137.09520,1.84291,-0.13123
3.50,1.84081,-1.32991,11.52157,20.74270,-6.07415,7.40632,-828.71340,138.90230,1.94512,-0.13109
3.51,1.85556,-1.34575,11.44949,21.25249,-6.04607,7.30847,-843.92920,140.72650,2.05282,-0.13092
3.52,1.86944,-1.36017,11.37357,21.77059,-6.01684,7.21243,-859.34060,142.56810,2.16611,-0.13073
3.53,1.88245,-1.37316,11.29395,22.29707,-5.98650,7.11831,-874.94890,144.42720,2.28509,-0.13051
3.54,1.89458,-1.38470,11.21074,22.83199,-5.95508,7.02621,-890.75540,146.30400,2.40985,-0.13027
3.55,1.90583,-1.39478,11.12407,23.37542,-5.92262,6.93623,-906.76140,148.19850,2.54050,-0.13000
3.56,1.91620,-1.40338,11.03405,23.92742,-5.88915,6.84848,-922.96810,150.11100,2.67713,-0.12971
3.57,1.92569,-1.41051,10.94082,24.48805,-5.85472,6.76306,-939.37680,152.04160,2.81985,-0.12939
3.58,1.93429,-1.41614,10.84451,25.05739,-5.81937,6.68007,-955.98900,153.99040,2.96874,-0.12905
3.59,1.94200,-1.42028,10.74524,25.63550,-5.78314,6.59961,-972.80590,155.95760,3.12391,-0.12869
3.60,1.94883,-1.42291,10.64312,26.22246,-5.74608,6.52179,-989.82880,157.94340,3.28545,-0.12830
3.61,1.95477,-1.42402,10.53829,26.81834,-5.70824,6.44670,-1007.05880,159.94780,3.45348,-0.12789
3.62,1.95982,-1.42359,10.43085,27.42323,-5.66967,6.37443,-1024.49720,161.97100,3.62810,-0.12746
3.63,1.96400,-1.42163,10.32095,28.03720,-5.63042,6.30507,-1042.14500,164.01320,3.80940,-0.12701
3.64,1.96730,-1.41812,10.20872,28.66034,-5.59055,6.23871,-1060.00360,166.07450,3.99750,-0.12653
3.65,1.96971,-1.41306,10.09431,29.29272,-5.55011,6.17544,-1078.07410,168.15500,4.19251,-0.12604
3.66,1.97124,-1.40645,9.97787,29.93444,-5.50916,6.11534,-1096.35780,170.25480,4.39454,-0.12552
3.67,1.97187,-1.39828,9.85955,30.58557,-5.46776,6.05849,-1114.85590,172.37410,4.60370,-0.12499
3.68,1.97161,-1.38856,9.73952,31.24618,-5.42597,6.00497,-1133.56960,174.51300,4.82012,-0.12443
3.69,1.97044,-1.37730,9.61793,31.91636,-5.38385,5.95484,-1152.49990,176.67150,5.04391,-0.12386
3.70,1.96836,-1.36452,9.49493,32.59618,-5.34148,5.90820,-1171.64810,178.84980,5.27518,-0.12327
3.71,1.96538,-1.35022,9.37068,33.28574,-5.29891,5.86512,-1191.01520,181.04800,5.51403,-0.12265
3.72,1.96149,-1.33441,9.24535,33.98511,-5.25621,5.82568,-1210.60250,183.26620,5.76056,-0.12202
3.73,1.95669,-1.31709,9.11912,34.69438,-5.21345,5.78996,-1230.41110,185.50450,6.01488,-0.12137
3.74,1.95100,-1.29828,8.99214,35.41364,-5.17069,5.75803,-1250.44220,187.76300,6.27710,-0.12070
3.75,1.94440,-1.27798,8.86458,36.14300,-5.12799,5.72995,-1270.69700,190.04180,6.54731,-0.12002
3.76,1.93690,-1.25621,8.73660,36.88255,-5.08544,5.70580,-1291.17670,192.34110,6.82562,-0.11931
3.77,1.92851,-1.23300,8.60835,37.63242,-5.04310,5.68564,-1311.88240,194.66110,7.11211,-0.11859
3.78,1.91924,-1.20835,8.47997,38.39269,-5.00106,5.66953,-1332.81530,197.00190,7.40690,-0.11785
3.79,1.90909,-1.18228,8.35160,39.16349,-4.95939,5.65755,-1353.97640,199.36370,7.70058,-0.11698
3.80,1.89807,-1.15481,8.22336,39.94490,-4.91819,5.64978,-1375.36700,201.74660,8.00694,-0.11624
3.81,1.88619,-1.12600,8.09539,40.73703,-4.87752,5.64630,-1396.98810,204.15090,8.32230,-0.11548
3.82,1.87346,-1.09587,7.96781,41.53999,-4.83748,5.64718,-1418.84090,206.57650,8.64670,-0.11470
3.83,1.85990,-1.06444,7.84074,42.35388,-4.79813,5.65251,-1440.92650,209.02360,8.98031,-0.11391
3.84,1.84552,-1.03176,7.71430,43.17882,-4.75956,5.66236,-1463.24600,211.49240,9.32328,-0.11311
3.85,1.83032,-0.99786,7.58861,44.01492,-4.72183,5.67679,-1485.80050,213.98300,9.67576,-0.11229
3.86,1.81432,-0.96277,7.46380,44.86228,-4.68502,5.69586,-1508.59130,216.49550,10.03792,-0.11146
3.87,1.79753,-0.92654,7.34000,45.72099,-4.64918,5.71964,-1531.62000,219.02980,10.41000,-0.11061
3.88,1.77996,-0.88921,7.21733,46.59117,-4.61439,5.74820,-1554.88780,221.58610,10.79216,-0.10976
3.89,1.76162,-0.85082,7.09592,47.47291,-4.58071,5.78160,-1578.39600,224.16450,11.18456,-0.10889
3.90,1.74254,-0.81140,6.97588,48.36631,-4.54823,5.81992,-1602.14600,226.76500,11.58737,-0.10801
3.91,1.72274,-0.77098,6.85732,49.27147,-4.51699,5.86322,-1626.13900,229.38780,12.00076,-0.10712
3.92,1.70223,-0.72960,6.74034,50.18848,-4.48708,5.91157,-1650.37680,232.03300,12.42491,-0.10621
3.93,1.68103,-0.68731,6.62503,51.11743,-4.45862,5.96504,-1674.86090,234.70080,12.85999,-0.10530
3.94,1.65916,-0.64414,6.51147,52.05842,-4.43169,6.02370,-1699.59320,237.39130,13.30616,-0.10437
3.95,1.63663,-0.59997,6.39974,53.01153,-4.40643,6.08761,-1724.57530,240.10460,13.76361,-0.10343
3.96,1.61346,-0.55500,6.28991,53.97686,-4.38294,6.15682,-1749.80870,242.84080,14.23250,-0.10247
3.97,1.58966,-0.50920,6.18206,54.95450,-4.36132,6.23140,-1775.29490,245.60000,14.71302,-0.10151
3.98,1.56525,-0.46261,6.07623,55.94452,-4.34171,6.31140,-1801.03540,248.38230,15.20536,-0.10053
3.99,1.54024,-0.41525,5.97249,56.94701,-4.32422,6.39700,-1827.03150,251.18780,15.70973,-0.09955
4.00,1.51465,-0.36712,5.87090,57.96205,-4.30898,6.48825,-1853.28470,254.01650,16.22631,-0.09855
