t (yr),P1_x (AU),P1_y (AU),P2_x (AU),P2_y (AU),P3_x (AU),P3_y (AU),P4_x (AU),P4_y (AU),P5_x (AU),P5_y (AU)
0.49,-0.00224,2.77665,-3.89422,1.23414,0.15797,2.03328,1.17046,1.31735,7.75865,0.09591
0.50,-0.01676,2.77676,-3.92837,1.19623,0.11328,2.05967,1.09145,1.32943,7.67603,0.09739
0.51,-0.03124,2.77419,-3.95640,1.15626,0.06866,2.08518,1.01347,1.34070,7.59254,0.09886
0.52,-0.04566,2.76894,-3.97828,1.11434,0.02414,2.10978,0.93663,1.35114,7.50824,0.10029
0.53,-0.06002,2.76101,-3.99401,1.07062,2.27439,0.04018,2.13346,0.86095,1.36074,7.42319,0.10170
0.54,-0.07431,2.75040,-4.00355,1.02521,-0.06825,2.15617,0.78652,1.36949,7.33744,0.10308
0.55,-0.08851,2.73713,-4.00689,0.97825,-0.11267,2.17789,0.71333,1.37736,7.25105,0.10443
0.56,-0.10263,2.72120,-4.00403,0.92988,-0.15694,2.19857,0.64150,1.38435,7.16408,0.10575
0.57,-0.11663,2.70262,-3.99496,0.88024,-0.20102,2.21818,0.57117,1.39045,7.07659,0.10704
0.58,-0.13052,2.68140,-3.97970,0.82946,-0.24490,2.23668,0.50249,1.39567,6.98864,0.10830
0.59,-0.14427,2.65755,-3.95825,0.77769,-0.28854,2.25399,0.43559,1.40000,6.90030,0.10953
0.60,-0.15788,2.63109,-3.93064,0.72509,-0.33194,2.27010,0.37061,1.40344,6.81163,0.11073
0.61,-0.17134,2.60205,-3.89689,0.67180,-0.37508,2.28492,0.30767,1.40600,6.72269,0.11190
0.62,-0.18464,2.57045,-3.85703,0.61800,-0.41794,2.29841,0.24689,1.40767,6.63354,0.11304
0.63,-0.19777,2.53633,-3.81110,0.56381,-0.46049,2.31050,0.18841,1.40845,6.54425,0.11415
0.64,-0.21072,2.49970,-3.75916,0.50938,-0.50272,2.32115,0.13233,1.40834,6.45489,0.11523
0.65,-0.22349,2.46061,-3.70128,0.45488,-0.54460,2.33031,0.07877,1.40733,6.36551,0.11627
0.66,-0.23605,2.41910,-3.63753,0.40047,-0.58612,2.33790,0.02782,1.40544,6.27618,0.11728
0.67,-0.24840,2.37519,-3.56801,0.34633,-0.62725,2.34390,-0.01977,1.40266,6.18696,0.11826
0.68,-0.26053,2.32895,-3.49280,0.29261,-0.66798,2.34827,-0.06456,1.39899,6.09791,0.11921
0.69,-0.27244,2.28043,-3.41203,0.23948,-0.70829,2.35100,-0.10657,1.39443,6.00908,0.12012
0.70,-0.28410,2.22971,-3.32580,0.18712,-0.74815,2.35207,-0.14589,1.38899,5.92055,0.12100
0.71,-0.29551,2.17684,-3.23423,0.13571,-0.78756,2.35147,-0.18267,1.38268,5.83236,0.12185
0.72,-0.30665,2.12188,-3.13745,0.08544,-0.82650,2.34919,-0.21703,1.37550,5.74459,0.12266
0.73,-0.31751,2.06490,-3.03560,0.03650,-0.86494,2.34522,-0.24909,1.36746,5.65729,0.12343
0.74,-0.32808,2.00596,-2.92880,-0.01053,-0.90288,2.33957,-0.27898,1.35857,5.57053,0.12417
0.75,-0.33834,1.94514,-2.81717,-0.05608,-0.94028,2.33224,-0.30682,1.34884,5.48439,0.12487
0.76,-0.34827,1.88251,-2.70085,-0.10006,-0.97714,2.32323,-0.33273,1.33830,5.39893,0.12553
0.77,-0.35787,1.81815,-2.58000,-0.14238,-1.01344,2.31256,-0.35683,1.32696,5.31422,0.12615
0.78,-0.36711,1.75215,-2.45476,-0.18300,-1.04916,2.30023,-0.37924,1.31484,5.23032,0.12673
